Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Nicaragua,15250,16390,16760,16980,17870,18840,19040,18960,19070,,
Netherlands,202130,188890,187110,186690,179380,188330,188160,184550,178640,,
Norway,51870,50120,48980,48060,48310,48580,47980,46920,47340,,
Nepal,37220,39020,40940,41840,43860,43670,47070,49580,51240,,
Nauru,50,50,50,50,60,60,70,70,80,,
New Zealand,79980,79400,81670,81240,81740,81690,80410,82060,81330,,
OECD members,15481930,15328740,15121720,15102990,14916100,14848340,14752500,14769390,14851080,,
Oman,52480,58730,65340,68280,72070,76260,77840,78490,82300,,
Other small states,265570,279800,279010,277370,280960,280470,282660,290540,292880,,
Pakistan,314470,323170,326970,337420,351040,365780,389400,414600,431220,,
Panama,15880,16970,17680,18030,18630,18090,18300,17900,18010,,
Peru,84650,88120,88380,89840,93240,94880,98040,96040,96280,,
Philippines,161170,163300,168460,179820,187640,196720,209480,225870,232340,,
Palau,230,240,240,240,250,250,290,300,320,,
Papua New Guinea,15390,16390,17120,18350,20040,21670,22680,22900,22970,,
Poland,391920,387760,380780,375430,362360,366250,377190,390070,389650,,
Pre-demographic dividend,1468750,1531940,1597010,1658570,1707370,1736780,1795460,1806560,1860540,,
Puerto Rico,,,,,,,,,,,
"Korea, Dem. People's Rep.",73940,59670,61410,50830,54550,48430,53460,46000,41910,,
Portugal,67990,67110,65410,63700,63320,67430,66380,70950,66820,,
Paraguay,40660,41900,43280,44800,46870,47310,48060,50540,49170,,
West Bank and Gaza,,,,,,,,,,,
Pacific island small states,5390,5460,5490,5730,6050,5710,6290,6470,6720,,
Post-demographic dividend,14240240,14080690,13847150,13826310,13605880,13441280,13294470,13237560,13324230,,
French Polynesia,,,,,,,,,,,
Qatar,68840,72840,80860,82700,88940,92460,94700,97340,99830,,
Romania,114860,119570,116870,107300,106410,108090,105850,108560,109010,,
Russian Federation,2454000,2546200,2566170,2529020,2521740,2475690,2470100,2494150,2543400,,
Rwanda,5110,5040,5200,5360,5400,6070,6030,6090,6170,,
South Asia,3145000,3285230,3447020,3529770,3736100,3787030,3858170,4024390,4195430,,
Saudi Arabia,514560,534210,568100,585810,629390,660370,664170,656080,638120,,
Sudan,94810,94530,99320,99640,100830,104470,109010,108910,109630,,
Senegal,24410,25490,25120,26500,27140,28070,29770,29750,29990,,
Singapore,56040,59100,58710,59620,60830,62560,63960,65970,66640,,
Solomon Islands,750,780,800,850,820,800,880,900,940,,
Sierra Leone,5360,6000,7110,7070,7530,7460,7640,7470,7190,,
El Salvador,12620,12550,12700,11940,12260,12700,12720,11940,12350,,
San Marino,,,,,,,,,,,
Somalia,26260,26440,26750,26900,27050,27110,27070,26920,26970,,
Serbia,64130,68460,63720,64510,56600,62910,64180,64500,62600,,
Sub-Saharan Africa (excluding high income),2025370,2066010,2122010,2177460,2226630,2241490,2292070,2319530,2359700,,
South Sudan,68610,65180,66940,62550,59950,57410,58440,56020,58660,,
Sub-Saharan Africa,2025930,2066530,2122580,2178000,2227230,2242140,2292760,2320270,2360480,,
Small states,325390,341620,343020,340800,344030,342860,342780,350420,354620,,
Sao Tome and Principe,150,150,170,170,170,170,180,190,190,,
Suriname,3360,3620,4090,3940,4380,4480,4060,3900,3780,,
Slovak Republic,43160,41670,39350,40000,37340,37770,38580,40480,39930,,
Slovenia,19080,19020,18420,17780,16230,16310,17130,17310,17170,,
Sweden,60070,56110,53230,51530,50120,50050,49520,49070,46350,,
Eswatini,2920,2940,3010,3520,2950,3000,3200,3050,3120,,
Sint Maarten (Dutch part),,,,,,,,,,,
Seychelles,560,520,570,540,600,650,690,740,780,,
Syrian Arab Republic,95980,89570,75930,56280,49100,44380,44930,47540,46320,,
Turks and Caicos Islands,,,,,,,,,,,
Chad,55150,57650,60510,62820,65410,70560,75220,77690,80680,,
East Asia & Pacific (IDA & IBRD countries),12196990,13139830,13508020,13991740,14091980,14163800,14219440,14513030,14932190,,
Europe & Central Asia (IDA & IBRD countries),4734760,4920270,4920260,4863190,4774060,4697360,4762660,4835630,4885130,,
Togo,7540,8000,7480,7320,7050,7790,8240,8010,8420,,
Thailand,360560,362400,383440,395710,390010,392810,395180,413200,416950,,
Tajikistan,8780,9060,9840,10260,11700,12280,13650,14200,15210,,
Turkmenistan,92070,101660,108940,114270,119770,126150,125940,125620,125080,,
Latin America & the Caribbean (IDA & IBRD countries),2952290,3017670,3082130,3137460,3172570,3181190,3168130,3157240,3130560,,
