Tunisia,5.131,4.876,4.464,5.246,4.764,5.132,4.521,4.124,4.741,4.315,4.596
Turkey,5.49,5.272,5.309,4.888,5.58,5.514,5.326,5.607,5.186,4.872,4.948
Uganda,4.193,4.826,4.309,3.71,3.77,4.238,4.233,4.001,4.322,4.948,4.636
Ukraine,5.058,5.083,5.03,4.711,4.297,3.965,4.029,4.311,4.662,4.702,4.875
United Arab Emirates,7.097,7.119,7.218,6.621,6.54,6.568,6.831,7.039,6.604,6.711,6.561
United Kingdom,7.029,6.869,6.881,6.918,6.758,6.515,6.824,7.103,7.233,7.157,7.064
United States,7.164,7.115,7.026,7.249,7.151,6.864,6.804,6.992,6.883,6.944,6.951
Uruguay,6.062,6.554,6.45,6.444,6.561,6.628,6.171,6.336,6.372,6.6,6.431
Uzbekistan,5.095,5.739,6.019,5.94,6.049,5.972,5.893,6.421,6.205,6.154,6.179
Venezuela,7.478,6.58,7.067,6.553,6.136,5.569,4.041,5.071,5.006,5.081,4.892
Vietnam,5.296,5.767,5.535,5.023,5.085,5.076,5.062,5.175,5.296,5.467,5.411
Yemen,4.35,3.746,4.061,4.218,3.968,2.983,3.826,3.254,3.058,4.197,3.658
Zimbabwe,4.682,4.846,4.955,4.69,4.184,3.703,3.735,3.638,3.616,2.694,3.145
