Country name,LL_2010,LL_2011,LL_2012,LL_2013,LL_2014,LL_2015,LL_2016,LL_2017,LL_2018,LL_2019,Class_k3,Class_k4
Denmark,1.9165439683492882,1.9575682450217158,1.7873857884556477,1.7287940984927115,1.7392039308355776,1.8672586362909762,1.8757091484053554,1.7677309521511273,1.8444170407235605,1.8085686832737817,2,2
Dominican Republic,-0.780036539352349,-0.23550548325950948,-0.7996408715103411,-0.4651762957058168,-0.20314537823220438,-0.486263370188686,-0.33692311559449317,-0.06480678972528224,-0.2681185128329258,0.23873708899186188,1,3
Ecuador,0.1996499889727187,0.1295481946392471,0.32978746431868505,0.39007139390985507,0.3087703519747217,0.379510222733278,0.4988965753342986,0.151707222009738,0.39443212332310235,0.05749543068222696,1,0
Egypt,-0.8386578547371678,-1.357265905546393,-1.3129323916842945,-1.7075450731435373,-0.6628621878276905,-0.7732548383523972,-0.9876411854728441,-1.6089662946950478,-1.6294455753232968,-1.3190117280694147,0,1
El Salvador,1.0008079658985676,-0.8372019975850993,0.3045436190642282,0.650994417860399,0.2272667741779128,0.43134145778625527,0.5227498770160558,0.6114539958641018,0.5021561835901971,0.6579165141079937,1,0
Finland,1.5808037075089656,1.5594946364587496,1.6938900652909934,1.6060067931042201,1.6265641547793128,1.8039093490040035,1.9730306192669274,1.946470178860038,2.0436588867042937,1.8894303462119273,2,2
France,1.052323667297347,1.1971926194486764,0.9730380396915076,0.9426142681580655,0.785886801774021,0.7576862710827825,0.8423841195516096,0.8841695170282123,0.9073130474266178,0.8763359484811444,2,2
Georgia,-1.342268245997651,-1.33066651695578,-1.2661845301019674,-1.0339202727483423,-1.2095771984422423,-1.388510795184968,-1.0916415808053077,-1.1280287877772572,-1.0059806601491352,-0.7948050855738537,0,1
Germany,0.9874849396747448,0.8871721593236023,1.0225907729687744,1.196715775142582,1.2593401694251496,1.4094160599896712,1.2230828143924632,1.2886361176736343,1.3382092884949983,1.1969942670289608,2,2
Ghana,-0.8946145648772214,-0.041972000755395186,-0.5154138730897913,-0.508663466364241,-1.6015269882965617,-1.5190487205035788,-1.0286688643654676,-0.17905248102376178,-0.6770886177407476,-0.7250967554547637,0,3
