Country name,LL_2010,LL_2011,LL_2012,LL_2013,LL_2014,LL_2015,LL_2016,LL_2017,LL_2018,LL_2019,LL_2021,Initial Temperature,2010_TEMP,2011_TEMP,2012_TEMP,2013_TEMP,2014_TEMP,2015_TEMP,2016_TEMP,2017_TEMP,2018_TEMP,2019_TEMP
Uganda,4.193,4.826,4.309,3.71,3.77,4.238,4.233,4.001,4.322,4.948,4.636,22.82,24.411,24.107,23.733,24.365,24.242,23.91,23.843,23.983,23.344,23.592
Ukraine,5.058,5.083,5.03,4.711,4.297,3.965,4.029,4.311,4.662,4.702,4.875,7.78,10.236,9.352,9.848,10.039,7.347,8.917,9.388,8.783,9.47,11.904
United Arab Emirates,7.097,7.119,7.218,6.621,6.54,6.568,6.831,7.039,6.604,6.711,6.561,27.63,29.507,29.393,29.097,27.865,28.739,29.451,28.62,29.903,29.842,30.317
United Kingdom,7.029,6.869,6.881,6.918,6.758,6.515,6.824,7.103,7.233,7.157,7.064,8.6,10.05,8.654,8.189,8.823,10.057,8.72,9.704,10.225,10.537,9.118
United States,7.164,7.115,7.026,7.249,7.151,6.864,6.804,6.992,6.883,6.944,6.951,8.79,9.904,9.605,10.038,10.223,9.318,10.487,,,,
Uruguay,6.062,6.554,6.45,6.444,6.561,6.628,6.171,6.336,6.372,6.6,6.431,17.44,17.954,17.163,17.598,17.697,17.596,19.044,15.794,19.59,16.448,20.717
Uzbekistan,5.095,5.739,6.019,5.94,6.049,5.972,5.893,6.421,6.205,6.154,6.179,12.62,14.915,14.224,14.496,13.896,15.012,15.367,14.148,13.767,13.068,13.561
Venezuela,7.478,6.58,7.067,6.553,6.136,5.569,4.041,5.071,5.006,5.081,4.892,25.49,26.696,26.469,26.389,26.487,26.654,26.508,26.298,26.326,26.258,26.568
Vietnam,5.296,5.767,5.535,5.023,5.085,5.076,5.062,5.175,5.296,5.467,5.411,23.95,25.221,24.449,24.753,24.409,24.865,25.327,25.192,24.982,24.517,25.807
Yemen,4.35,3.746,4.061,4.218,3.968,2.983,3.826,3.254,3.058,4.197,3.658,26.1,27.869,27.881,27.338,27.284,27.506,27.742,27.636,27.808,27.651,27.894
Zimbabwe,4.682,4.846,4.955,4.69,4.184,3.703,3.735,3.638,3.616,2.694,3.145,21.09,21.614,22.303,22.384,22.645,22.56,22.364,22.488,22.735,22.55,22.338
